alpha,Cl,Cd,Cdp,Cm
17.25,1.1265,0.14094,0.13604,-0.0658
17.3,1.1235,0.14164,0.13676,-0.0661
17.35,1.12,0.14244,0.13759,-0.0663
17.4,1.1168,0.14318,0.13835,-0.0666
17.45,1.1137,0.14394,0.13914,-0.0669
17.5,1.1109,0.14469,0.13991,-0.0671
17.55,1.1077,0.14548,0.14072,-0.0674
17.6,1.1048,0.14623,0.14149,-0.0677
17.65,1.1017,0.14705,0.14232,-0.068
17.7,1.099,0.14778,0.14307,-0.0683
17.75,1.0962,0.14853,0.14385,-0.0686
17.8,1.0937,0.14928,0.14462,-0.0688
17.85,1.0909,0.15003,0.14539,-0.0691
17.9,1.0884,0.15078,0.14616,-0.0694
17.95,1.0862,0.15153,0.14692,-0.0697
18,1.0838,0.15224,0.14765,-0.07
18.05,1.0814,0.153,0.14842,-0.0703
18.1,1.0792,0.15371,0.14915,-0.0706
18.15,1.077,0.15443,0.14989,-0.0709
18.2,1.0751,0.15512,0.1506,-0.0712
18.25,1.0731,0.15579,0.15127,-0.0714
18.3,1.0712,0.15644,0.15194,-0.0717
18.35,1.0694,0.15713,0.15264,-0.072
18.4,1.0677,0.1578,0.15333,-0.0722
18.45,1.0663,0.15839,0.15392,-0.0725
18.5,1.0648,0.159,0.15454,-0.0727
18.55,1.064,0.15958,0.15512,-0.0729
18.6,1.0625,0.16018,0.15574,-0.0732
18.65,1.0621,0.16061,0.15616,-0.0733
18.7,1.0612,0.16114,0.1567,-0.0735
18.75,1.0603,0.16166,0.15723,-0.0737
18.8,1.0592,0.16224,0.15782,-0.074
18.85,1.0601,0.16243,0.158,-0.074
18.9,1.0613,0.1626,0.15815,-0.074
18.95,1.0626,0.16276,0.15829,-0.074
19,1.0656,0.16245,0.15794,-0.0737
19.05,1.0661,0.16276,0.15826,-0.0738
19.1,1.0712,0.1622,0.15764,-0.0734
19.15,1.0745,0.16191,0.15733,-0.0731
19.2,1.0731,0.1626,0.15804,-0.0734
19.25,1.0714,0.16336,0.15883,-0.0738
19.3,1.0691,0.16421,0.15972,-0.0742
19.35,1.0684,0.16478,0.16031,-0.0744
19.4,1.0672,0.16543,0.16098,-0.0747
19.45,1.0665,0.16602,0.16158,-0.075
19.5,1.0654,0.16662,0.16221,-0.0753
19.55,1.0652,0.16715,0.16276,-0.0755
19.6,1.0646,0.1677,0.16333,-0.0757
19.65,1.0637,0.1683,0.16396,-0.076
19.7,1.063,0.16884,0.16452,-0.0762
19.75,1.063,0.16928,0.16497,-0.0764
19.8,1.0628,0.16971,0.16542,-0.0766
19.85,1.063,0.17011,0.16583,-0.0767
19.9,1.0635,0.17043,0.16616,-0.0768
19.95,1.065,0.17062,0.16636,-0.0768
20,1.0659,0.17081,0.16656,-0.0769
